feature,importance
crimeindex_2023,0.39168939581648593
wavg_crime_k5,0.11936096314424323
wavg_safety_k5,0.10356382371373547
safetyindex_2020,0.057426502164210184
crimeindex_2020,0.039703322230052594
log1p_sum_pop_50km,0.020470189860818336
log1p_sum_pop_100km,0.017234089372043866
log1p_pop_of_nearest_large_city,0.015949058870324606
crime_nearest_labeled_city,0.01571846592551585
safety_nearest_labeled_city,0.015550548260366708
avg_safety_same_country_k5,0.013576693833123547
lon,0.01331184849308716
avg_crime_same_country_k5,0.011497897628388608
dist_nearest_labeled_city,0.011047845353273205
log1p_dist_nearest_labeled_city,0.011032268802953821
avg_safety_k10,0.01033896089652349
avg_crime_k10,0.010336355950626604
lat,0.009805314371168876
log1p_num_cities_50km,0.00907402858929176
log1p_dist_to_nearest_large_city,0.008295564132959147
dist_to_nearest_large_city,0.007440514205755753
log1p_num_cities_100km,0.007435220156047454
avg_crime_k5,0.006859870978444667
log1p_pop_gravity_100km,0.006753931493414083
log1p_pop_gravity_50km,0.006750529233691772
avg_safety_k5,0.0061720405280223075
unemployment,0.0044211598113105665
density_per_km2,0.0040823635088963394
age_15_64,0.003981761470040606
log1p_num_labeled_within_250km,0.0039685358136451005
tourists,0.003877456326854378
homicide_rate,0.0033710610170837917
log1p_num_same_country_within_250km,0.0032552598624669637
urban_population_growth,0.0031430814595539455
gdp,0.00310166389452953
age_0_14,0.002940645574645059
gdp_per_capita,0.002879478755523175
log1p_num_labeled_within_50km,0.0027334313385646014
population,0.0023935123579352908
life_expectancy_female,0.002241241563936021
age_65_plus,0.0017808334043475937
log1p_num_labeled_within_100km,0.001634943767708412
life_expectancy_male,0.0016225220025452008
infant_mortality,0.0014586527202917535
same_country_as_nearest_labeled,0.0007171513455525332
